person_age;person_income;person_emp_length;loan_amnt;loan_int_rate;loan_percent_income;cb_person_cred_hist_length;dti_ratio;taxa_juros_alta;loan_grade_num;cb_default_flag;home_MORTGAGE;home_OTHER;home_OWN;home_RENT;intent_DEBTCONSOLIDATION;intent_EDUCATION;intent_HOMEIMPROVEMENT;intent_MEDICAL;intent_PERSONAL;intent_VENTURE;loan_status_real;loan_status_pred;probabilidade_default;risco_categoria;loan_intent;person_home_ownership
46;57359;3,0;9000;6,92;0,16;14;0,1569065011593647;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0,0164645615027002;Muito Baixo;DEBTCONSOLIDATION;MORTGAGE
23;30000;0,0;4800;10,99;0,16;4;0,16;0;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0,114443742982873;Muito Baixo;EDUCATION;RENT
29;72072;4,0;12000;8,49;0,17;8;0,1665001665001665;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0,0900508070426351;Muito Baixo;DEBTCONSOLIDATION;MORTGAGE
28;56004;12,0;5525;12,68;0,1;9;0,0986536675951717;1;3;0;0;0;0;1;0;0;0;1;0;0;0;0;0,2213553098064622;Baixo;MEDICAL;RENT
24;36000;3,0;8000;13,61;0,22;2;0,2222222222222222;1;3;0;1;0;0;0;0;0;0;1;0;0;0;0;0,193466413124243;Muito Baixo;MEDICAL;MORTGAGE
30;30000;6,0;2800;12,68;0,09;7;0,0933333333333333;1;3;1;0;0;0;1;0;0;0;1;0;0;0;0;0,125138372611253;Muito Baixo;MEDICAL;RENT
25;45000;5,0;10400;10,25;0,23;3;0,2311111111111111;0;2;0;0;0;1;0;0;0;0;0;0;1;0;0;1,3116177625053517e-05;Muito Baixo;VENTURE;OWN
27;90000;11,0;16000;8,88;0,18;9;0,1777777777777777;0;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0,0423875159449235;Muito Baixo;PERSONAL;RENT
22;48996;5,0;5000;7,9;0,1;4;0,1020491468691321;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0,1816502917944303;Muito Baixo;MEDICAL;MORTGAGE
25;118000;9,0;2000;7,12;0,02;2;0,0169491525423728;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0,0040035026072233;Muito Baixo;DEBTCONSOLIDATION;MORTGAGE
25;30000;1,0;5000;13,48;0,17;3;0,1666666666666666;1;3;1;0;0;1;0;0;0;0;0;0;1;0;0;0,0014978983948632;Muito Baixo;VENTURE;OWN
44;140000;14,0;21500;11,83;0,15;14;0,1535714285714285;1;2;0;0;0;1;0;0;0;0;0;0;1;0;0;1,9913552813276967e-05;Muito Baixo;VENTURE;OWN
23;96000;5,0;1500;6,62;0,02;3;0,015625;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0,0052853973872741;Muito Baixo;PERSONAL;MORTGAGE
23;65000;7,0;7425;6,03;0,11;4;0,1142307692307692;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0,0187832308175447;Muito Baixo;DEBTCONSOLIDATION;MORTGAGE
38;100000;2,0;16000;7,49;0,16;11;0,16;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0,0093025551822447;Muito Baixo;HOMEIMPROVEMENT;RENT
27;69960;3,0;10000;7,49;0,14;9;0,1429388221841052;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0,0235594811626345;Muito Baixo;PERSONAL;MORTGAGE
25;58000;8,0;17500;13,11;0,3;4;0,3017241379310345;1;3;1;1;0;0;0;0;0;1;0;0;0;0;0;0,1577336351133664;Muito Baixo;HOMEIMPROVEMENT;MORTGAGE
27;18000;0,0;6000;7,49;0,33;5;0,3333333333333333;0;1;0;0;0;0;1;1;0;0;0;0;0;1;1;0,9993510969123224;Muito Alto;DEBTCONSOLIDATION;RENT
23;61200;4,0;20000;11,14;0,28;2;0,326797385620915;1;2;0;0;0;0;1;0;0;0;1;0;0;1;1;0,8896434513140341;Muito Alto;MEDICAL;RENT
24;32000;1,0;1500;13,92;0,05;4;0,046875;1;3;1;0;0;0;1;0;1;0;0;0;0;0;0;0,3447486784377507;Baixo;EDUCATION;RENT
42;150000;19,0;18400;13,48;0,12;17;0,1226666666666666;1;3;0;0;0;0;1;0;0;0;1;0;0;0;0;0,0739330918556379;Muito Baixo;MEDICAL;RENT
26;32496;8,0;4200;16,02;0,13;3;0,1292466765140325;1;4;0;1;0;0;0;1;0;0;0;0;0;1;1;0,9952954452726076;Muito Alto;DEBTCONSOLIDATION;MORTGAGE
39;43680;9,0;16000;10,99;0,37;16;0,3663003663003663;0;2;0;0;0;0;1;0;0;0;1;0;0;1;1;0,9955791001995988;Muito Alto;MEDICAL;RENT
29;77040;1,0;9500;12,84;0,12;9;0,1233125649013499;1;3;1;0;0;0;1;0;1;0;0;0;0;0;0;0,1189535943462522;Muito Baixo;EDUCATION;RENT
27;150000;11,0;25000;10,36;0,17;7;0,1666666666666666;0;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0,0459455912847355;Muito Baixo;PERSONAL;MORTGAGE
28;25000;0,0;5175;18,43;0,21;6;0,207;1;6;1;0;0;0;1;0;0;1;0;0;0;1;1;0,9946691090561268;Muito Alto;HOMEIMPROVEMENT;RENT
41;88712;2,0;16000;10,95;0,18;15;0,1803589142393362;0;2;0;0;0;0;1;0;0;0;0;0;1;0;0;0,0044796501566403;Muito Baixo;VENTURE;RENT
30;75000;2,0;10000;7,29;0,13;9;0,1333333333333333;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0,0231631520720473;Muito Baixo;HOMEIMPROVEMENT;RENT
37;46996;2,0;13750;13,98;0,29;13;0,2925780917524895;1;3;0;1;0;0;0;0;1;0;0;0;0;0;0;0,1631547440497306;Muito Baixo;EDUCATION;MORTGAGE
21;26000;5,0;6000;5,79;0,23;2;0,2307692307692307;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0,0006747337357301;Muito Baixo;EDUCATION;OWN
22;74000;6,0;2500;6,62;0,03;3;0,0337837837837837;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0,0234331581335217;Muito Baixo;MEDICAL;MORTGAGE
25;65000;6,0;7500;13,47;0,12;4;0,1153846153846153;1;3;0;1;0;0;0;0;0;0;0;1;0;0;0;0,0933797518306793;Muito Baixo;PERSONAL;MORTGAGE
23;59000;5,0;13000;5,42;0,22;4;0,2203389830508474;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0,0248815298565866;Muito Baixo;EDUCATION;MORTGAGE
23;120000;7,0;12000;5,42;0,1;3;0,1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0,0029495266181457;Muito Baixo;EDUCATION;MORTGAGE
23;34600;5,0;6800;12,69;0,2;4;0,1965317919075144;1;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0,1023892314149319;Muito Baixo;EDUCATION;MORTGAGE
44;65000;16,0;2000;7,9;0,03;14;0,0307692307692307;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0,0252577783407126;Muito Baixo;MEDICAL;RENT
22;54000;3,0;15750;6,62;0,29;4;0,2916666666666667;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0,0701741248974734;Muito Baixo;PERSONAL;MORTGAGE
28;65000;2,0;7200;13,98;0,11;5;0,1107692307692307;1;3;1;0;0;0;1;0;0;1;0;0;0;0;0;0,1156194834825932;Muito Baixo;HOMEIMPROVEMENT;RENT
22;54000;1,0;10000;14,61;0,19;4;0,1851851851851851;1;4;1;1;0;0;0;0;0;1;0;0;0;1;1;0,9952162808488704;Muito Alto;HOMEIMPROVEMENT;MORTGAGE
26;30000;5,0;5000;7,49;0,17;4;0,1666666666666666;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;3,0651627833427264e-05;Muito Baixo;VENTURE;OWN
21;30000;6,0;9200;6,62;0,31;3;0,3066666666666666;0;1;0;0;0;0;1;1;0;0;0;0;0;1;1;0,983303184108148;Muito Alto;DEBTCONSOLIDATION;RENT
22;50000;7,0;8800;11,11;0,18;4;0,176;1;2;0;1;0;0;0;0;0;0;0;0;1;0;0;0,0008924794736691;Muito Baixo;VENTURE;MORTGAGE
22;43000;4,0;18550;11,83;0,43;4;0,4313953488372093;1;2;0;0;0;0;1;1;0;0;0;0;0;1;1;0,9932509693271854;Muito Alto;DEBTCONSOLIDATION;RENT
24;51500;6,0;4000;7,51;0,08;2;0,0776699029126213;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0,0812711111474708;Muito Baixo;MEDICAL;MORTGAGE
24;29000;1,0;20000;10,62;0,69;3;0,6896551724137931;0;2;0;1;0;0;0;0;0;1;0;0;0;0;1;0,5003328242643935;Moderado;HOMEIMPROVEMENT;MORTGAGE
46;63000;18,0;10000;10,51;0,16;11;0,1587301587301587;0;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0,0886649535906698;Muito Baixo;HOMEIMPROVEMENT;RENT
25;138000;9,0;21600;10,99;0,16;4;0,1565217391304348;0;2;0;0;0;1;0;0;0;0;1;0;0;0;0;0,0008610199759271;Muito Baixo;MEDICAL;OWN
42;24000;10,0;5000;7,49;0,21;11;0,2083333333333333;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0,0004351915713798;Muito Baixo;MEDICAL;OWN
25;66000;9,0;12000;16,89;0,18;2;0,1818181818181818;1;4;0;0;0;0;1;0;0;0;0;1;0;1;0;0,1545115405988013;Muito Baixo;PERSONAL;RENT
24;42000;1,0;7500;10,51;0,18;3;0,1785714285714285;0;2;0;0;0;1;0;0;0;0;0;0;1;0;0;1,68120120024925e-05;Muito Baixo;VENTURE;OWN
23;29000;2,0;9000;11,71;0,31;2;0,3103448275862069;1;2;0;0;0;0;1;0;1;0;0;0;0;1;1;0,9918794061473564;Muito Alto;EDUCATION;RENT
26;132750;8,0;12000;11,49;0,09;4;0,0903954802259887;1;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0,0474315178859514;Muito Baixo;HOMEIMPROVEMENT;MORTGAGE
30;105000;0,0;6000;14,72;0,06;10;0,0571428571428571;1;3;1;1;0;0;0;0;0;0;0;0;1;0;0;0,0163541521631821;Muito Baixo;VENTURE;MORTGAGE
28;67000;4,0;12000;7,49;0,18;7;0,1791044776119403;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0,0461716444927803;Muito Baixo;EDUCATION;RENT
36;52000;8,0;2275;11,86;0,04;12;0,04375;1;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0,1535011212383437;Muito Baixo;DEBTCONSOLIDATION;MORTGAGE
22;30000;0,0;3600;12,21;0,12;3;0,12;1;2;0;0;0;0;1;0;0;0;0;0;1;0;0;0,0148547997539303;Muito Baixo;VENTURE;RENT
32;75000;8,0;14000;6,03;0,19;10;0,1866666666666666;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0,0039359502459605;Muito Baixo;MEDICAL;MORTGAGE
29;40000;9,0;1400;14,26;0,04;5;0,035;1;3;1;1;0;0;0;0;1;0;0;0;0;0;0;0,0931138598928334;Muito Baixo;EDUCATION;MORTGAGE
44;83000;2,0;12000;16,0;0,14;12;0,144578313253012;1;4;1;0;1;0;0;0;0;0;0;1;0;1;0;0,3282632411165385;Baixo;PERSONAL;OTHER
29;66000;4,0;8200;17,04;0,12;7;0,1242424242424242;1;5;1;1;0;0;0;1;0;0;0;0;0;1;1;0,9969178457790432;Muito Alto;DEBTCONSOLIDATION;MORTGAGE
32;50000;2,0;8000;10,62;0,16;8;0,16;0;2;0;0;0;0;1;0;0;0;1;0;0;0;0;0,019803871768927;Muito Baixo;MEDICAL;RENT
27;106000;3,0;16000;14,96;0,15;9;0,1509433962264151;1;4;1;0;0;1;0;0;0;0;0;1;0;0;0;0,0002806183124541;Muito Baixo;PERSONAL;OWN
25;34000;4,0;8200;12,21;0,24;4;0,2411764705882353;1;2;0;0;0;0;1;0;0;0;0;0;1;0;0;0,0446190965810205;Muito Baixo;VENTURE;RENT
25;55000;4,0;2500;7,88;0,05;2;0,0454545454545454;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0,046292270044873;Muito Baixo;PERSONAL;RENT
22;54000;3,0;22750;15,31;0,42;2;0,4212962962962963;1;4;1;1;0;0;0;1;0;0;0;0;0;1;1;0,9967731075497382;Muito Alto;DEBTCONSOLIDATION;MORTGAGE
22;58000;6,0;20000;11,99;0,34;4;0,3448275862068966;1;2;0;0;0;1;0;0;0;0;1;0;0;0;0;0,0014136200802431;Muito Baixo;MEDICAL;OWN
32;29000;16,0;9450;16,29;0,33;8;0,3258620689655172;1;4;0;0;0;0;1;1;0;0;0;0;0;1;1;0,9998628614207892;Muito Alto;DEBTCONSOLIDATION;RENT
27;40000;9,0;2000;10,75;0,05;6;0,05;0;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0,0973864169038987;Muito Baixo;DEBTCONSOLIDATION;RENT
24;68000;7,0;6000;7,88;0,09;2;0,088235294117647;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0,0540221735912091;Muito Baixo;EDUCATION;MORTGAGE
30;72000;14,0;3000;9,99;0,04;9;0,0416666666666666;0;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0,0863937841668627;Muito Baixo;HOMEIMPROVEMENT;MORTGAGE
44;36000;1,0;12000;13,99;0,33;12;0,3333333333333333;1;3;0;1;0;0;0;0;0;1;0;0;0;0;0;0,2802451316090251;Baixo;HOMEIMPROVEMENT;MORTGAGE
24;59000;5,0;15000;14,79;0,25;3;0,2542372881355932;1;3;1;0;0;0;1;0;1;0;0;0;0;1;0;0,217858646776914;Baixo;EDUCATION;RENT
21;100000;5,0;5000;7,14;0,05;3;0,05;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0,0001925372036277;Muito Baixo;PERSONAL;OWN
28;81000;11,0;6000;6,17;0,07;8;0,074074074074074;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0,0412235063091544;Muito Baixo;PERSONAL;MORTGAGE
30;62256;1,0;9000;15,05;0,14;10;0,1445643793369314;1;4;1;1;0;0;0;0;0;1;0;0;0;0;0;0,194410666598098;Muito Baixo;HOMEIMPROVEMENT;MORTGAGE
23;14000;2,0;4000;15,31;0,29;3;0,2857142857142857;1;4;0;0;0;1;0;1;0;0;0;0;0;1;1;0,998515341822794;Muito Alto;DEBTCONSOLIDATION;OWN
24;50000;8,0;3000;13,47;0,06;2;0,06;1;3;0;1;0;0;0;0;1;0;0;0;0;0;0;0,1083565227043329;Muito Baixo;EDUCATION;MORTGAGE
25;48000;3,0;1400;14,79;0,03;3;0,0291666666666666;1;3;0;1;0;0;0;1;0;0;0;0;0;0;0;0,1608070440368671;Muito Baixo;DEBTCONSOLIDATION;MORTGAGE
23;60000;5,0;16000;14,27;0,27;4;0,2666666666666666;1;3;1;0;0;1;0;0;1;0;0;0;0;0;0;0,0004067777812317;Muito Baixo;EDUCATION;OWN
22;130000;1,0;13000;8,94;0,1;4;0,1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0,0005481472156067;Muito Baixo;VENTURE;MORTGAGE
22;60000;5,0;2100;13,43;0,04;2;0,035;1;3;0;0;0;0;1;0;0;0;0;0;1;0;0;0,0325709048941534;Muito Baixo;VENTURE;RENT
24;36396;8,0;5000;6,03;0,14;3;0,1373777338169029;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0,0737974564444388;Muito Baixo;DEBTCONSOLIDATION;RENT
24;110000;8,0;8000;6,76;0,07;4;0,0727272727272727;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0,0149657938490197;Muito Baixo;EDUCATION;MORTGAGE
27;31200;0,0;6000;13,49;0,19;7;0,1923076923076923;1;3;1;0;0;0;1;0;0;0;0;0;1;0;0;0,2249618947593359;Baixo;VENTURE;RENT
25;69000;0,0;15000;16,7;0,22;3;0,217391304347826;1;5;1;0;0;0;1;0;0;1;0;0;0;1;1;0,910948965707414;Muito Alto;HOMEIMPROVEMENT;RENT
30;40000;13,0;12000;9,2;0,3;8;0,3;0;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0,0706913254463564;Muito Baixo;EDUCATION;RENT
24;121000;8,0;18000;18,3;0,15;3;0,1487603305785124;1;6;0;0;0;0;1;0;0;0;0;1;0;0;0;0,1504474165130521;Muito Baixo;PERSONAL;RENT
33;96053;3,0;12000;15,68;0,11;6;0,1249310276618117;1;5;0;0;0;0;1;0;0;0;1;0;0;1;1;0,9774311915228704;Muito Alto;MEDICAL;RENT
23;74400;3,0;9000;7,66;0,12;2;0,1209677419354838;0;1;0;1;0;0;0;0;0;1;0;0;0;1;1;0,892631877695244;Muito Alto;HOMEIMPROVEMENT;MORTGAGE
30;36000;3,0;24250;12,61;0,67;7;0,6736111111111112;1;3;1;0;0;0;1;1;0;0;0;0;0;1;1;0,9925064969763844;Muito Alto;DEBTCONSOLIDATION;RENT
23;50000;5,0;10000;7,51;0,2;3;0,2;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0,0230861858522856;Muito Baixo;EDUCATION;RENT
21;53000;3,0;9600;15,31;0,18;4;0,1811320754716981;1;4;1;0;0;0;1;0;0;0;0;1;0;0;0;0,1291549009303016;Muito Baixo;PERSONAL;RENT
23;46776;7,0;15000;13,24;0,32;4;0,3206772703950744;1;4;0;0;0;1;0;1;0;0;0;0;0;0;0;0,0036417312648359;Muito Baixo;DEBTCONSOLIDATION;OWN
23;150000;0,0;24000;7,49;0,16;4;0,16;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0,0100611143096932;Muito Baixo;EDUCATION;RENT
47;47000;9,0;7500;6,62;0,16;12;0,1595744680851064;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0,054266546215677;Muito Baixo;PERSONAL;MORTGAGE
23;92000;7,0;10000;11,71;0,11;4;0,108695652173913;1;2;0;0;0;0;1;0;0;0;0;0;1;0;0;0,003242202290298;Muito Baixo;VENTURE;RENT
22;43000;5,0;7000;10,62;0,16;4;0,1627906976744186;0;2;0;1;0;0;0;0;0;0;1;0;0;0;0;0,1075630374655251;Muito Baixo;MEDICAL;MORTGAGE
32;189996;4,0;8400;9,32;0,04;8;0,044211457083307;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0,0433578593601285;Muito Baixo;PERSONAL;RENT
22;35100;0,0;1000;13,98;0,03;2;0,0284900284900284;1;3;0;0;0;0;1;1;0;0;0;0;0;0;0;0,0829489365182602;Muito Baixo;DEBTCONSOLIDATION;RENT
25;55000;9,0;8500;10,99;0,15;2;0,1545454545454545;0;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0,1042292273986972;Muito Baixo;HOMEIMPROVEMENT;MORTGAGE
32;44500;3,0;15000;7,51;0,34;5;0,3370786516853932;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0,001625055853196;Muito Baixo;EDUCATION;OWN
34;30000;2,0;4000;7,51;0,13;7;0,1333333333333333;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0,0965617488775923;Muito Baixo;PERSONAL;RENT
25;34000;0,0;6650;8,9;0,2;3;0,1955882352941176;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0,0096369269388479;Muito Baixo;VENTURE;RENT
25;34000;10,0;20000;8,88;0,59;2;0,5882352941176471;0;2;0;0;0;0;1;1;0;0;0;0;0;1;1;0,9971666826183936;Muito Alto;DEBTCONSOLIDATION;RENT
28;43200;5,0;12250;9,99;0,28;6;0,2835648148148148;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0,000626303825777;Muito Baixo;PERSONAL;OWN
31;15000;2,0;4000;11,49;0,27;6;0,2666666666666666;1;2;0;0;0;0;1;0;0;0;0;0;1;1;1;0,9945769119504764;Muito Alto;VENTURE;RENT
27;225000;11,0;25000;15,31;0,11;5;0,1111111111111111;1;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0,0973128329017969;Muito Baixo;VENTURE;MORTGAGE
27;56000;1,0;2500;11,72;0,04;5;0,0446428571428571;1;3;0;0;0;0;1;1;0;0;0;0;0;1;0;0,0930730855471246;Muito Baixo;DEBTCONSOLIDATION;RENT
38;50000;5,0;4000;7,88;0,08;12;0,08;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0,0004311584075832;Muito Baixo;VENTURE;RENT
34;48000;9,0;5600;15,96;0,12;7;0,1166666666666666;1;3;1;1;0;0;0;0;0;0;0;0;1;0;0;0,1355838016228416;Muito Baixo;VENTURE;MORTGAGE
25;52000;9,0;16000;13,98;0,31;4;0,3076923076923077;1;3;0;0;0;0;1;0;0;0;0;0;1;1;1;0,9909649984786456;Muito Alto;VENTURE;RENT
28;34000;0,0;2600;15,62;0,08;9;0,0764705882352941;1;4;0;0;0;0;1;0;0;0;0;1;0;1;1;0,9788481252387152;Muito Alto;PERSONAL;RENT
21;59000;5,0;5000;9,99;0,08;3;0,0847457627118644;0;2;0;1;0;0;0;0;1;0;0;0;0;1;0;0,1580933247840651;Muito Baixo;EDUCATION;MORTGAGE
26;55000;10,0;8400;8,94;0,15;3;0,1527272727272727;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0,0547455114391447;Muito Baixo;MEDICAL;RENT
22;27302;6,0;3725;12,69;0,14;2;0,1364368910702512;1;2;0;1;0;0;0;0;0;0;1;0;0;0;0;0,1909016987730652;Muito Baixo;MEDICAL;MORTGAGE
22;60000;6,0;4000;7,51;0,07;3;0,0666666666666666;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0,0201096110126888;Muito Baixo;EDUCATION;RENT
22;60000;0,0;6600;10,59;0,11;2;0,11;0;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0,0221399508972774;Muito Baixo;DEBTCONSOLIDATION;RENT
25;34800;4,0;9450;5,99;0,27;4;0,271551724137931;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0,072660771846698;Muito Baixo;DEBTCONSOLIDATION;MORTGAGE
24;54000;5,0;10000;10,37;0,19;2;0,1851851851851851;0;2;0;0;0;0;1;0;0;0;0;1;0;1;0;0,2545927847762654;Baixo;PERSONAL;RENT
30;60000;0,0;12000;11,71;0,2;9;0,2;1;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0,0353176077028654;Muito Baixo;PERSONAL;RENT
23;28000;4,0;5000;13,72;0,18;4;0,1785714285714285;1;3;0;0;0;0;1;1;0;0;0;0;0;1;0;0,3675485668951639;Baixo;DEBTCONSOLIDATION;RENT
35;36000;2,0;3000;15,31;0,08;10;0,0833333333333333;1;4;0;0;0;0;1;0;0;0;0;1;0;1;1;0,9465676941857958;Muito Alto;PERSONAL;RENT
23;92000;0,0;6500;8,0;0,07;3;0,0706521739130434;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0,0121111565108143;Muito Baixo;EDUCATION;RENT
22;12000;5,0;5500;10,36;0,46;4;0,4583333333333333;0;2;0;0;0;0;1;0;1;0;0;0;0;1;1;0,999565584640428;Muito Alto;EDUCATION;RENT
33;29000;0,0;10000;13,06;0,34;7;0,3448275862068966;1;3;1;0;0;0;1;0;1;0;0;0;0;1;1;0,9986860407519356;Muito Alto;EDUCATION;RENT
24;42000;4,0;18250;16,82;0,43;4;0,4345238095238095;1;5;1;1;0;0;0;0;0;0;0;1;0;1;0;0,3027166691471794;Baixo;PERSONAL;MORTGAGE
22;25000;0,0;2500;11,14;0,1;3;0,1;1;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0,1379685265427853;Muito Baixo;DEBTCONSOLIDATION;RENT
25;50000;3,0;17000;6,03;0,34;2;0,34;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0,0244246144747848;Muito Baixo;DEBTCONSOLIDATION;MORTGAGE
22;41800;3,0;3100;6,76;0,07;4;0,0741626794258373;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0,0006876097479079;Muito Baixo;VENTURE;MORTGAGE
27;75905;0,0;18000;17,26;0,2;8;0,2371385284236875;1;6;0;0;0;1;0;0;0;0;1;0;0;1;1;0,6925932263792162;Alto;MEDICAL;OWN
23;29700;2,0;4000;10,74;0,13;4;0,1346801346801346;0;2;0;0;0;0;1;0;0;0;0;0;1;0;0;0,0045774241942667;Muito Baixo;VENTURE;RENT
25;69000;10,0;15000;14,54;0,22;3;0,217391304347826;1;4;1;1;0;0;0;1;0;0;0;0;0;1;1;0,99497607212742;Muito Alto;DEBTCONSOLIDATION;MORTGAGE
23;135000;1,0;12500;15,99;0,09;2;0,0925925925925925;1;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0,27603744141584;Baixo;VENTURE;MORTGAGE
23;61615;4,0;13000;10,62;0,21;3;0,210987584192161;0;2;0;1;0;0;0;0;0;0;1;0;0;0;0;0,1357808338491756;Muito Baixo;MEDICAL;MORTGAGE
25;120000;5,0;21000;7,9;0,17;2;0,175;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0,014303272237074;Muito Baixo;HOMEIMPROVEMENT;MORTGAGE
