person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,dti_ratio,taxa_juros_alta,loan_grade_num,cb_default_flag,home_MORTGAGE,home_OTHER,home_OWN,home_RENT,intent_DEBTCONSOLIDATION,intent_EDUCATION,intent_HOMEIMPROVEMENT,intent_MEDICAL,intent_PERSONAL,intent_VENTURE,loan_status_real,loan_status_pred,probabilidade_default,risco_categoria
27,69960,3.0,10000,7.49,0.14,9,0.1429388221841052,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.023559481162634597,Muito Baixo
25,58000,8.0,17500,13.11,0.3,4,0.3017241379310345,1,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0.15773363511336647,Muito Baixo
27,18000,0.0,6000,7.49,0.33,5,0.3333333333333333,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0.9993510969123224,Muito Alto
23,61200,4.0,20000,11.14,0.28,2,0.326797385620915,1,2,0,0,0,0,1,0,0,0,1,0,0,1,1,0.8896434513140341,Muito Alto
24,32000,1.0,1500,13.92,0.05,4,0.046875,1,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0.34474867843775076,Baixo
42,150000,19.0,18400,13.48,0.12,17,0.1226666666666666,1,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0.07393309185563798,Muito Baixo
26,32496,8.0,4200,16.02,0.13,3,0.1292466765140325,1,4,0,1,0,0,0,1,0,0,0,0,0,1,1,0.9952954452726076,Muito Alto
39,43680,9.0,16000,10.99,0.37,16,0.3663003663003663,0,2,0,0,0,0,1,0,0,0,1,0,0,1,1,0.9955791001995987,Muito Alto
29,77040,1.0,9500,12.84,0.12,9,0.1233125649013499,1,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0.11895359434625229,Muito Baixo
27,150000,11.0,25000,10.36,0.17,7,0.1666666666666666,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0.04594559128473557,Muito Baixo
28,25000,0.0,5175,18.43,0.21,6,0.207,1,6,1,0,0,0,1,0,0,1,0,0,0,1,1,0.9946691090561269,Muito Alto
41,88712,2.0,16000,10.95,0.18,15,0.1803589142393362,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0.004479650156640382,Muito Baixo
30,75000,2.0,10000,7.29,0.13,9,0.1333333333333333,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0.02316315207204737,Muito Baixo
37,46996,2.0,13750,13.98,0.29,13,0.2925780917524895,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0.16315474404973065,Muito Baixo
21,26000,5.0,6000,5.79,0.23,2,0.2307692307692307,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0006747337357301704,Muito Baixo
22,74000,6.0,2500,6.62,0.03,3,0.0337837837837837,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.023433158133521714,Muito Baixo
25,65000,6.0,7500,13.47,0.12,4,0.1153846153846153,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0.09337975183067938,Muito Baixo
23,59000,5.0,13000,5.42,0.22,4,0.2203389830508474,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.02488152985658665,Muito Baixo
23,120000,7.0,12000,5.42,0.1,3,0.1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.002949526618145776,Muito Baixo
23,34600,5.0,6800,12.69,0.2,4,0.1965317919075144,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0.10238923141493193,Muito Baixo
44,65000,16.0,2000,7.9,0.03,14,0.0307692307692307,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0.025257778340712644,Muito Baixo
22,54000,3.0,15750,6.62,0.29,4,0.2916666666666667,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.07017412489747349,Muito Baixo
28,65000,2.0,7200,13.98,0.11,5,0.1107692307692307,1,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0.1156194834825932,Muito Baixo
22,54000,1.0,10000,14.61,0.19,4,0.1851851851851851,1,4,1,1,0,0,0,0,0,1,0,0,0,1,1,0.9952162808488703,Muito Alto
26,30000,5.0,5000,7.49,0.17,4,0.1666666666666666,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,3.0651627833427264e-05,Muito Baixo
21,30000,6.0,9200,6.62,0.31,3,0.3066666666666666,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0.9833031841081481,Muito Alto
22,50000,7.0,8800,11.11,0.18,4,0.176,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0.000892479473669129,Muito Baixo
22,43000,4.0,18550,11.83,0.43,4,0.4313953488372093,1,2,0,0,0,0,1,1,0,0,0,0,0,1,1,0.9932509693271854,Muito Alto
24,51500,6.0,4000,7.51,0.08,2,0.0776699029126213,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.08127111114747083,Muito Baixo
24,29000,1.0,20000,10.62,0.69,3,0.6896551724137931,0,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0.5003328242643935,Moderado
46,63000,18.0,10000,10.51,0.16,11,0.1587301587301587,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0.08866495359066981,Muito Baixo
25,138000,9.0,21600,10.99,0.16,4,0.1565217391304348,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0008610199759271431,Muito Baixo
42,24000,10.0,5000,7.49,0.21,11,0.2083333333333333,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0.000435191571379878,Muito Baixo
25,66000,9.0,12000,16.89,0.18,2,0.1818181818181818,1,4,0,0,0,0,1,0,0,0,0,1,0,1,0,0.15451154059880137,Muito Baixo
24,42000,1.0,7500,10.51,0.18,3,0.1785714285714285,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1.68120120024925e-05,Muito Baixo
23,29000,2.0,9000,11.71,0.31,2,0.3103448275862069,1,2,0,0,0,0,1,0,1,0,0,0,0,1,1,0.9918794061473564,Muito Alto
26,132750,8.0,12000,11.49,0.09,4,0.0903954802259887,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0.04743151788595146,Muito Baixo
30,105000,0.0,6000,14.72,0.06,10,0.0571428571428571,1,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0.01635415216318216,Muito Baixo
28,67000,4.0,12000,7.49,0.18,7,0.1791044776119403,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.04617164449278036,Muito Baixo
36,52000,8.0,2275,11.86,0.04,12,0.04375,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0.15350112123834372,Muito Baixo
22,30000,0.0,3600,12.21,0.12,3,0.12,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0.014854799753930323,Muito Baixo
32,75000,8.0,14000,6.03,0.19,10,0.1866666666666666,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.003935950245960516,Muito Baixo
29,40000,9.0,1400,14.26,0.04,5,0.035,1,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0.09311385989283345,Muito Baixo
44,83000,2.0,12000,16.0,0.14,12,0.144578313253012,1,4,1,0,1,0,0,0,0,0,0,1,0,1,0,0.3282632411165385,Baixo
29,66000,4.0,8200,17.04,0.12,7,0.1242424242424242,1,5,1,1,0,0,0,1,0,0,0,0,0,1,1,0.9969178457790431,Muito Alto
32,50000,2.0,8000,10.62,0.16,8,0.16,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0.019803871768927003,Muito Baixo
27,106000,3.0,16000,14.96,0.15,9,0.1509433962264151,1,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0.0002806183124541786,Muito Baixo
25,34000,4.0,8200,12.21,0.24,4,0.2411764705882353,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0.04461909658102055,Muito Baixo
25,55000,4.0,2500,7.88,0.05,2,0.0454545454545454,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0.04629227004487308,Muito Baixo
22,54000,3.0,22750,15.31,0.42,2,0.4212962962962963,1,4,1,1,0,0,0,1,0,0,0,0,0,1,1,0.9967731075497382,Muito Alto
22,58000,6.0,20000,11.99,0.34,4,0.3448275862068966,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0014136200802431862,Muito Baixo
32,29000,16.0,9450,16.29,0.33,8,0.3258620689655172,1,4,0,0,0,0,1,1,0,0,0,0,0,1,1,0.9998628614207892,Muito Alto
27,40000,9.0,2000,10.75,0.05,6,0.05,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0.09738641690389878,Muito Baixo
24,68000,7.0,6000,7.88,0.09,2,0.088235294117647,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.054022173591209185,Muito Baixo
30,72000,14.0,3000,9.99,0.04,9,0.0416666666666666,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0.08639378416686276,Muito Baixo
44,36000,1.0,12000,13.99,0.33,12,0.3333333333333333,1,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0.2802451316090251,Baixo
24,59000,5.0,15000,14.79,0.25,3,0.2542372881355932,1,3,1,0,0,0,1,0,1,0,0,0,0,1,0,0.21785864677691402,Baixo
21,100000,5.0,5000,7.14,0.05,3,0.05,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0001925372036277901,Muito Baixo
28,81000,11.0,6000,6.17,0.07,8,0.074074074074074,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.04122350630915445,Muito Baixo
30,62256,1.0,9000,15.05,0.14,10,0.1445643793369314,1,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0.19441066659809808,Muito Baixo
23,14000,2.0,4000,15.31,0.29,3,0.2857142857142857,1,4,0,0,0,1,0,1,0,0,0,0,0,1,1,0.9985153418227941,Muito Alto
24,50000,8.0,3000,13.47,0.06,2,0.06,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0.10835652270433299,Muito Baixo
25,48000,3.0,1400,14.79,0.03,3,0.0291666666666666,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0.16080704403686719,Muito Baixo
23,60000,5.0,16000,14.27,0.27,4,0.2666666666666666,1,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0.00040677778123176774,Muito Baixo
22,130000,1.0,13000,8.94,0.1,4,0.1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0005481472156067949,Muito Baixo
22,60000,5.0,2100,13.43,0.04,2,0.035,1,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0.03257090489415347,Muito Baixo
24,36396,8.0,5000,6.03,0.14,3,0.1373777338169029,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0.07379745644443889,Muito Baixo
24,110000,8.0,8000,6.76,0.07,4,0.0727272727272727,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.01496579384901976,Muito Baixo
27,31200,0.0,6000,13.49,0.19,7,0.1923076923076923,1,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0.22496189475933595,Baixo
25,69000,0.0,15000,16.7,0.22,3,0.217391304347826,1,5,1,0,0,0,1,0,0,1,0,0,0,1,1,0.9109489657074141,Muito Alto
30,40000,13.0,12000,9.2,0.3,8,0.3,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0.07069132544635645,Muito Baixo
24,121000,8.0,18000,18.3,0.15,3,0.1487603305785124,1,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0.1504474165130521,Muito Baixo
33,96053,3.0,12000,15.68,0.11,6,0.1249310276618117,1,5,0,0,0,0,1,0,0,0,1,0,0,1,1,0.9774311915228705,Muito Alto
23,74400,3.0,9000,7.66,0.12,2,0.1209677419354838,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0.892631877695244,Muito Alto
30,36000,3.0,24250,12.61,0.67,7,0.6736111111111112,1,3,1,0,0,0,1,1,0,0,0,0,0,1,1,0.9925064969763844,Muito Alto
23,50000,5.0,10000,7.51,0.2,3,0.2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.02308618585228564,Muito Baixo
21,53000,3.0,9600,15.31,0.18,4,0.1811320754716981,1,4,1,0,0,0,1,0,0,0,0,1,0,0,0,0.12915490093030166,Muito Baixo
23,46776,7.0,15000,13.24,0.32,4,0.3206772703950744,1,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0036417312648359774,Muito Baixo
23,150000,0.0,24000,7.49,0.16,4,0.16,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.01006111430969326,Muito Baixo
47,47000,9.0,7500,6.62,0.16,12,0.1595744680851064,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.054266546215677,Muito Baixo
23,92000,7.0,10000,11.71,0.11,4,0.108695652173913,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0032422022902980764,Muito Baixo
22,43000,5.0,7000,10.62,0.16,4,0.1627906976744186,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0.10756303746552517,Muito Baixo
32,189996,4.0,8400,9.32,0.04,8,0.044211457083307,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0.043357859360128516,Muito Baixo
22,35100,0.0,1000,13.98,0.03,2,0.0284900284900284,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0.08294893651826026,Muito Baixo
25,55000,9.0,8500,10.99,0.15,2,0.1545454545454545,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0.10422922739869725,Muito Baixo
32,44500,3.0,15000,7.51,0.34,5,0.3370786516853932,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0016250558531960794,Muito Baixo
34,30000,2.0,4000,7.51,0.13,7,0.1333333333333333,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0.09656174887759236,Muito Baixo
25,34000,0.0,6650,8.9,0.2,3,0.1955882352941176,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.009636926938847944,Muito Baixo
25,34000,10.0,20000,8.88,0.59,2,0.5882352941176471,0,2,0,0,0,0,1,1,0,0,0,0,0,1,1,0.9971666826183937,Muito Alto
28,43200,5.0,12250,9.99,0.28,6,0.2835648148148148,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0006263038257770398,Muito Baixo
31,15000,2.0,4000,11.49,0.27,6,0.2666666666666666,1,2,0,0,0,0,1,0,0,0,0,0,1,1,1,0.9945769119504763,Muito Alto
27,225000,11.0,25000,15.31,0.11,5,0.1111111111111111,1,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0.09731283290179694,Muito Baixo
27,56000,1.0,2500,11.72,0.04,5,0.0446428571428571,1,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0.0930730855471246,Muito Baixo
38,50000,5.0,4000,7.88,0.08,12,0.08,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0004311584075832732,Muito Baixo
34,48000,9.0,5600,15.96,0.12,7,0.1166666666666666,1,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0.13558380162284167,Muito Baixo
25,52000,9.0,16000,13.98,0.31,4,0.3076923076923077,1,3,0,0,0,0,1,0,0,0,0,0,1,1,1,0.9909649984786457,Muito Alto
28,34000,0.0,2600,15.62,0.08,9,0.0764705882352941,1,4,0,0,0,0,1,0,0,0,0,1,0,1,1,0.9788481252387153,Muito Alto
21,59000,5.0,5000,9.99,0.08,3,0.0847457627118644,0,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0.15809332478406513,Muito Baixo
26,55000,10.0,8400,8.94,0.15,3,0.1527272727272727,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0547455114391447,Muito Baixo
22,27302,6.0,3725,12.69,0.14,2,0.1364368910702512,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0.1909016987730652,Muito Baixo
22,60000,6.0,4000,7.51,0.07,3,0.0666666666666666,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.02010961101268882,Muito Baixo
22,60000,0.0,6600,10.59,0.11,2,0.11,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0.02213995089727747,Muito Baixo
25,34800,4.0,9450,5.99,0.27,4,0.271551724137931,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.07266077184669804,Muito Baixo
24,54000,5.0,10000,10.37,0.19,2,0.1851851851851851,0,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0.2545927847762654,Baixo
30,60000,0.0,12000,11.71,0.2,9,0.2,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0.035317607702865454,Muito Baixo
23,28000,4.0,5000,13.72,0.18,4,0.1785714285714285,1,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0.36754856689516396,Baixo
35,36000,2.0,3000,15.31,0.08,10,0.0833333333333333,1,4,0,0,0,0,1,0,0,0,0,1,0,1,1,0.9465676941857958,Muito Alto
23,92000,0.0,6500,8.0,0.07,3,0.0706521739130434,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.012111156510814347,Muito Baixo
22,12000,5.0,5500,10.36,0.46,4,0.4583333333333333,0,2,0,0,0,0,1,0,1,0,0,0,0,1,1,0.999565584640428,Muito Alto
33,29000,0.0,10000,13.06,0.34,7,0.3448275862068966,1,3,1,0,0,0,1,0,1,0,0,0,0,1,1,0.9986860407519356,Muito Alto
24,42000,4.0,18250,16.82,0.43,4,0.4345238095238095,1,5,1,1,0,0,0,0,0,0,0,1,0,1,0,0.30271666914717943,Baixo
22,25000,0.0,2500,11.14,0.1,3,0.1,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0.13796852654278538,Muito Baixo
25,50000,3.0,17000,6.03,0.34,2,0.34,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.02442461447478486,Muito Baixo
22,41800,3.0,3100,6.76,0.07,4,0.0741626794258373,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0006876097479079177,Muito Baixo
27,75905,0.0,18000,17.26,0.2,8,0.2371385284236875,1,6,0,0,0,1,0,0,0,0,1,0,0,1,1,0.6925932263792162,Alto
23,29700,2.0,4000,10.74,0.13,4,0.1346801346801346,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0.004577424194266776,Muito Baixo
25,69000,10.0,15000,14.54,0.22,3,0.217391304347826,1,4,1,1,0,0,0,1,0,0,0,0,0,1,1,0.9949760721274199,Muito Alto
23,135000,1.0,12500,15.99,0.09,2,0.0925925925925925,1,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0.27603744141584,Baixo
23,61615,4.0,13000,10.62,0.21,3,0.210987584192161,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0.13578083384917566,Muito Baixo
25,120000,5.0,21000,7.9,0.17,2,0.175,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0.014303272237074035,Muito Baixo
26,35000,9.0,2000,13.99,0.06,2,0.0571428571428571,1,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0.060529710979390715,Muito Baixo
33,100000,16.0,15000,11.71,0.15,9,0.15,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0.04042396149707812,Muito Baixo
27,54000,0.0,12000,16.49,0.22,5,0.2222222222222222,1,4,0,1,0,0,0,0,0,0,0,1,0,1,0,0.42223173378697476,Moderado
26,107496,9.0,20000,12.69,0.19,4,0.1860534345464017,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0.10507595984369288,Muito Baixo
26,81000,10.0,21000,16.95,0.26,2,0.2592592592592592,1,5,0,0,0,0,1,0,0,0,0,0,1,1,0,0.2664583456868806,Baixo
29,30288,13.0,13000,14.35,0.43,8,0.4292128895932382,1,3,0,0,0,0,1,0,0,0,0,1,0,1,1,0.9921854881981287,Muito Alto
31,24000,2.0,1800,8.59,0.07,6,0.075,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0.08312191997185006,Muito Baixo
36,50400,7.0,12700,7.29,0.25,13,0.251984126984127,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0.017693019355828354,Muito Baixo
25,93080,3.0,8450,13.49,0.09,2,0.0907821229050279,1,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0.033276061157923725,Muito Baixo
49,23004,6.0,3250,15.21,0.14,12,0.1412797774300121,1,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0.1855999531536053,Muito Baixo
37,100000,13.0,18400,5.99,0.18,15,0.184,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,6.984531844290104e-05,Muito Baixo
34,48000,4.0,10800,10.99,0.23,7,0.225,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0.06646493914039317,Muito Baixo
25,40000,2.0,18000,13.11,0.45,3,0.45,1,3,1,0,0,0,1,0,0,0,1,0,0,1,1,0.9969742805344064,Muito Alto
23,88000,2.0,6625,11.22,0.08,3,0.0752840909090909,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0.07822035362468742,Muito Baixo
25,35000,0.0,13750,7.51,0.39,4,0.3928571428571428,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0.9779777935702848,Muito Alto
23,41000,3.0,6000,10.99,0.15,2,0.1463414634146341,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0.07937324302590416,Muito Baixo
30,28800,9.0,2000,11.48,0.07,10,0.0694444444444444,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0.051246086171269994,Muito Baixo
27,92000,11.0,18000,11.48,0.2,7,0.1956521739130435,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0.037929593872398165,Muito Baixo
25,128000,4.0,10000,11.58,0.08,2,0.078125,1,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0.05130640103925012,Muito Baixo
23,70000,4.0,12000,7.49,0.17,2,0.1714285714285714,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0.014250041526503561,Muito Baixo
22,74476,6.0,5000,8.49,0.07,2,0.0671357215747354,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0.15679508426020689,Muito Baixo
26,37850,1.0,6400,9.88,0.17,2,0.1690885072655218,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0.10599825515253142,Muito Baixo
25,52000,1.0,10000,5.79,0.19,3,0.1923076923076923,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0007467235647350881,Muito Baixo
25,48000,0.0,6000,10.65,0.13,2,0.125,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0.00047296596994091583,Muito Baixo
36,140000,13.0,20800,11.48,0.15,11,0.1485714285714285,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1.3541666522579372e-05,Muito Baixo
32,31000,2.0,7400,16.77,0.24,9,0.2387096774193548,1,4,1,0,0,0,1,0,0,1,0,0,0,1,1,0.9968006668047663,Muito Alto
36,62000,9.0,4800,8.0,0.08,12,0.0774193548387096,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.042805974679411204,Muito Baixo
22,33996,1.0,8000,10.51,0.24,3,0.2353218025650076,0,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0.3715886249345446,Baixo
24,60000,8.0,21000,13.48,0.35,4,0.35,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0.24151881440097947,Baixo
